Issue Type,File Path,Line Number,Issue Description,Severity,Recommendation,Impact,Module,Feature
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","44","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","50","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","51","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","56","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","70","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","78","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","85","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","100","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","107","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","109","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","118","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","135","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","136","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","141","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","144","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","153","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGenPrepRepository.swift","161","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository+Extension.swift","10","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository+Extension.swift","16","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLSchedulesRepository.swift","21","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLSchedulesRepository.swift","29","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","12","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","13","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","14","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","15","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","26","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","32","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","38","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","44","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","51","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","57","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","69","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLRoutesRepository.swift","76","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLEmpSummaryRepository.swift","43","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLEmpSummaryRepository.swift","50","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLEmpSummaryRepository.swift","53","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMobileDepositRepository.swift","11","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMobileDepositRepository.swift","12","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMobileDepositRepository.swift","21","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMobileDepositRepository.swift","31","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMobileDepositRepository.swift","38","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMobileDepositRepository.swift","48","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","22","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","26","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","72","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","78","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","85","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","125","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","193","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","253","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","255","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","323","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","324","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","393","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","400","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","408","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","415","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","449","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","454","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","461","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","496","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLLiveTrackingRepository.swift","860","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGeneralAppSettingRepository.swift","9","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGeneralAppSettingRepository.swift","20","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLGeneralAppSettingRepository.swift","28","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","11","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","12","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","13","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","14","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","15","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","16","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","17","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","18","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","19","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","20","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","21","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","22","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","23","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","24","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","25","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","26","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","27","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","28","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","29","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLMetricsRepository.swift","30","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLScheduleMeetingRepository.swift","14","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLScheduleMeetingRepository.swift","29","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLScheduleMeetingRepository.swift","41","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLScheduleMeetingRepository.swift","72","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLScheduleMeetingRepository.swift","81","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOASRepository.swift","32","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOASRepository.swift","52","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOASRepository.swift","70","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLOASRepository.swift","72","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLZoneSafetyMetricRepository.swift","15","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
"Main Thread Blocking","SalesLeadPlus/Data/Repositories/SLZoneSafetyMetricRepository.swift","29","Database operation potentially on main thread","High","Move database operations to a background queue using DispatchQueue.global().async","User-facing performance degradation","SalesLeadPlus","Data"
